Fecha;Num_Mes;Mes
11/09/2020;9;septiembre
12/09/2020;9;septiembre
13/09/2020;9;septiembre
14/09/2020;9;septiembre
15/09/2020;9;septiembre
16/09/2020;9;septiembre
17/09/2020;9;septiembre
18/09/2020;9;septiembre
19/09/2020;9;septiembre
20/09/2020;9;septiembre
21/09/2020;9;septiembre
22/09/2020;9;septiembre
23/09/2020;9;septiembre
24/09/2020;9;septiembre
25/09/2020;9;septiembre
26/09/2020;9;septiembre
27/09/2020;9;septiembre
28/09/2020;9;septiembre
29/09/2020;9;septiembre
30/09/2020;9;septiembre
01/10/2020;10;octubre
02/10/2020;10;octubre
03/10/2020;10;octubre
04/10/2020;10;octubre
05/10/2020;10;octubre
06/10/2020;10;octubre
07/10/2020;10;octubre
08/10/2020;10;octubre
09/10/2020;10;octubre
10/10/2020;10;octubre
11/10/2020;10;octubre
12/10/2020;10;octubre
13/10/2020;10;octubre
14/10/2020;10;octubre
15/10/2020;10;octubre
16/10/2020;10;octubre
17/10/2020;10;octubre
18/10/2020;10;octubre
19/10/2020;10;octubre
20/10/2020;10;octubre
21/10/2020;10;octubre
22/10/2020;10;octubre
23/10/2020;10;octubre
24/10/2020;10;octubre
25/10/2020;10;octubre
26/10/2020;10;octubre
27/10/2020;10;octubre
28/10/2020;10;octubre
29/10/2020;10;octubre
30/10/2020;10;octubre
31/10/2020;10;octubre
01/11/2020;11;noviembre
02/11/2020;11;noviembre
03/11/2020;11;noviembre
04/11/2020;11;noviembre
05/11/2020;11;noviembre
06/11/2020;11;noviembre
07/11/2020;11;noviembre
08/11/2020;11;noviembre
09/11/2020;11;noviembre
10/11/2020;11;noviembre
11/11/2020;11;noviembre
12/11/2020;11;noviembre
13/11/2020;11;noviembre
14/11/2020;11;noviembre
15/11/2020;11;noviembre
16/11/2020;11;noviembre
17/11/2020;11;noviembre
18/11/2020;11;noviembre
19/11/2020;11;noviembre
20/11/2020;11;noviembre
21/11/2020;11;noviembre
22/11/2020;11;noviembre
23/11/2020;11;noviembre
24/11/2020;11;noviembre
25/11/2020;11;noviembre
26/11/2020;11;noviembre
27/11/2020;11;noviembre
28/11/2020;11;noviembre
29/11/2020;11;noviembre
30/11/2020;11;noviembre
01/12/2020;12;diciembre
02/12/2020;12;diciembre
03/12/2020;12;diciembre
04/12/2020;12;diciembre
05/12/2020;12;diciembre
06/12/2020;12;diciembre
07/12/2020;12;diciembre
08/12/2020;12;diciembre
09/12/2020;12;diciembre
10/12/2020;12;diciembre
11/12/2020;12;diciembre
12/12/2020;12;diciembre
13/12/2020;12;diciembre
14/12/2020;12;diciembre
15/12/2020;12;diciembre
16/12/2020;12;diciembre
